province,last_updated,data » date,data » change_cases,data » change_fatalities,data » change_tests,data » change_hospitalizations,data » change_criticals,data » change_recoveries,data » change_vaccinations,data » change_vaccinated,data » change_boosters_1,data » change_boosters_2,data » change_vaccines_distributed,data » total_cases,data » total_fatalities,data » total_tests,data » total_hospitalizations,data » total_criticals,data » total_recoveries,data » total_vaccinations,data » total_vaccinated,data » total_boosters_1,data » total_boosters_2,data » total_vaccines_distributed
All,2023-07-07 23:57:07,2020-01-25,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
,,2020-01-26,1,0,4,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0
,,2020-01-27,0,0,20,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0
,,2020-01-28,1,0,10,0,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0
,,2020-01-29,0,0,3,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0
,,2020-01-30,0,0,26,0,0,0,0,0,0,0,0,3,0,65,0,0,0,0,0,0,0,0
,,2020-01-31,1,0,33,0,0,0,0,0,0,0,0,4,0,98,0,0,0,0,0,0,0,0
,,2020-02-01,0,0,23,0,0,0,0,0,0,0,0,4,0,121,0,0,0,0,0,0,0,0
,,2020-02-02,0,0,24,0,0,0,0,0,0,0,0,4,0,145,0,0,0,0,0,0,0,0
,,2020-02-03,0,0,16,0,0,0,0,0,0,0,0,4,0,161,0,0,0,0,0,0,0,0
,,2020-02-04,0,0,56,0,0,0,0,0,0,0,0,4,0,217,0,0,0,0,0,0,0,0
,,2020-02-05,1,0,50,0,0,0,0,0,0,0,0,5,0,267,0,0,0,0,0,0,0,0
,,2020-02-06,2,0,35,0,0,0,0,0,0,0,0,7,0,302,0,0,0,0,0,0,0,0
,,2020-02-07,0,0,63,0,0,0,0,0,0,0,0,7,0,365,0,0,0,0,0,0,0,0
,,2020-02-08,0,0,41,0,0,0,0,0,0,0,0,7,0,406,0,0,0,0,0,0,0,0
,,2020-02-09,0,0,30,0,0,0,0,0,0,0,0,7,0,436,0,0,0,0,0,0,0,0
,,2020-02-10,0,0,10,0,0,0,0,0,0,0,0,7,0,446,0,0,0,0,0,0,0,0
,,2020-02-11,0,0,37,0,0,0,0,0,0,0,0,7,0,483,0,0,0,0,0,0,0,0
,,2020-02-12,0,0,70,0,0,0,0,0,0,0,0,7,0,553,0,0,0,0,0,0,0,0
,,2020-02-13,0,0,55,0,0,0,0,0,0,0,0,7,0,608,0,0,0,0,0,0,0,0
,,2020-02-14,1,0,91,0,0,0,0,0,0,0,0,8,0,699,0,0,0,0,0,0,0,0
,,2020-02-15,0,0,44,0,0,0,0,0,0,0,0,8,0,743,0,0,0,0,0,0,0,0
,,2020-02-16,0,0,12,0,0,0,0,0,0,0,0,8,0,755,0,0,0,0,0,0,0,0
,,2020-02-17,0,0,29,0,0,0,0,0,0,0,0,8,0,784,0,0,0,0,0,0,0,0
,,2020-02-18,0,0,4,0,0,0,0,0,0,0,0,8,0,788,0,0,0,0,0,0,0,0
,,2020-02-19,0,0,101,0,0,0,0,0,0,0,0,8,0,889,0,0,0,0,0,0,0,0
,,2020-02-20,1,0,57,0,0,0,0,0,0,0,0,9,0,946,0,0,0,0,0,0,0,0
,,2020-02-21,0,0,65,0,0,0,0,0,0,0,0,9,0,1011,0,0,0,0,0,0,0,0
,,2020-02-22,0,0,45,0,0,0,0,0,0,0,0,9,0,1056,0,0,0,0,0,0,0,0
,,2020-02-23,1,0,44,0,0,0,0,0,0,0,0,10,0,1100,0,0,0,0,0,0,0,0
,,2020-02-24,1,0,17,0,0,0,0,0,0,0,0,11,0,1117,0,0,0,0,0,0,0,0
,,2020-02-25,0,0,61,0,0,0,0,0,0,0,0,11,0,1178,0,0,0,0,0,0,0,0
,,2020-02-26,1,0,76,0,0,0,0,0,0,0,0,12,0,1254,0,0,0,0,0,0,0,0
,,2020-02-27,2,0,230,0,0,0,0,0,0,0,0,14,0,1484,0,0,0,0,0,0,0,0
,,2020-02-28,2,0,134,0,0,0,0,0,0,0,0,16,0,1618,0,0,0,0,0,0,0,0
,,2020-02-29,4,0,182,0,0,0,0,0,0,0,0,20,0,1800,0,0,0,0,0,0,0,0
,,2020-03-01,4,0,105,0,0,7,0,0,0,0,0,24,0,1905,0,0,7,0,0,0,0,0
,,2020-03-02,3,0,1127,0,0,0,0,0,0,0,0,27,0,3032,0,0,7,0,0,0,0,0
,,2020-03-03,6,0,329,0,0,0,0,0,0,0,0,33,0,3361,0,0,7,0,0,0,0,0
,,2020-03-04,1,0,522,0,0,0,0,0,0,0,0,34,0,3883,0,0,7,0,0,0,0,0
,,2020-03-05,13,0,752,0,0,1,0,0,0,0,0,47,0,4635,0,0,8,0,0,0,0,0
,,2020-03-06,5,0,585,0,0,0,0,0,0,0,0,52,0,5220,0,0,8,0,0,0,0,0
,,2020-03-07,8,0,1018,0,0,0,0,0,0,0,0,60,0,6238,0,0,8,0,0,0,0,0
,,2020-03-08,4,1,1053,0,0,0,0,0,0,0,0,64,1,7291,0,0,8,0,0,0,0,0
,,2020-03-09,15,0,777,4,0,0,0,0,0,0,0,79,1,8068,4,0,8,0,0,0,0,0
,,2020-03-10,17,0,1960,1,0,1,0,0,0,0,0,96,1,10028,5,0,9,0,0,0,0,0
,,2020-03-11,22,1,2057,0,0,0,0,0,0,0,0,117,2,12085,5,0,9,0,0,0,0,0
